year,lake,season,outlierpres,n,fitmin,fitmax,slope,slp_se,slp_l95ci,slp_u95ci,intcpt,int_se,int_l95ci,int_u95CI,height,height.overall
2018,Blue,summer,N,13,-29.415037499278842,-4.415037499278844,-0.6696590394985539,0.10660303894215843,-0.9042907462309157,-0.4350273327661921,1.9588470509830063,1.9727379920316026,-2.383119994227529,6.300814096193541,13.286154815832097,12.338562163210591
2018,Center,summer,N,12,-29.415037499278842,-6.415037499278844,-0.39351340115180466,0.1145424387819417,-0.6487298592031083,-0.138296943100501,4.6365231421373485,2.3165184791636877,-0.5250016826314194,9.798047966906116,11.686330480240688,10.73598085999032
2018,Center,spring,N,11,-30.415037499278842,-16.415037499278842,-0.02468791545463714,0.10298811020739235,-0.2576632066433407,0.2082873757340664,15.661426436706789,2.3872294144282384,10.261138317615384,21.061714555798194,16.239494902856144,16.044089126253663
2018,Five.Island,summer,N,14,-29.415037499278842,-6.415037499278844,-0.508393351834952,0.07212933414140668,-0.6655496704576034,-0.3512370332123007,3.054275246554801,1.33518042871232,0.1451669985558075,5.963383494553795,12.162161209062027,10.934372199996558
2018,Five.Island,spring,N,10,-29.415037499278842,-16.415037499278842,0.059267551400580626,0.09216782756363869,-0.15327184009395473,0.271806942895116,17.08649124877323,2.0578804978007765,12.34101031108863,21.831972186457826,15.728373085938486,16.167844202064227
2018,North.Twin,summer,N,11,-30.415037499278842,-8.415037499278844,-0.5830742161368915,0.13427702009479883,-0.8868299389435392,-0.2793184933302438,1.5301078882450332,2.5147403641412645,-4.158630039074894,7.21884581556496,12.8505156594054,10.56775823836685
2019,North.Twin,spring,Y,5,-24.415037499278842,-18.415037499278842,0.40116797062740817,0.46728015649014254,-1.085926036927039,1.888261978181855,24.46938580305214,9.871361612532729,-6.945692488872066,55.88446409497635,14.875438741988082,18.251282258327315
2019,Silver,summer,Y,12,-23.415037499278846,-5.415037499278844,-0.8017700234527236,0.13289483267871985,-1.0978781633723944,-0.5056618835330529,-1.7234088851693723,2.0285622636152545,-6.243327278403743,2.7965095080649975,7.829711010067508,10.704026478347844
2019,Silver,spring,Y,3,-22.415037499278842,-17.415037499278842,0.6306789338376467,0.23765358785056517,-2.3889962096781128,3.6503540773534064,26.648325327638247,4.642527088690342,-32.34057435449829,85.63722500977478,11.88095444182455,16.872801853154723
2019,Storm,summer,N,12,-30.415037499278842,-2.415037499278844,-0.47131089552896027,0.06990503087303562,-0.6270690107664709,-0.3155527802914496,3.153994541665957,1.286184671365195,0.2881965045679684,6.019792578763946,10.890580565592533,10.459313422364842
2019,Storm,spring,N,9,-29.415037499278842,-15.415037499278844,-0.06326724689449956,0.11255971718172585,-0.3294286838948334,0.2028941901058343,12.59793350746291,2.4048720400551518,6.911314759571088,18.284552255354733,14.016071219079251,13.578575834327653
2019,South.Twin,summer,N,14,-29.415037499278842,-4.415037499278844,-0.5705537442759265,0.13035649189463297,-0.8545761412463649,-0.2865313473054881,1.8058428939137736,2.740998411477517,-4.166279611110934,7.7779653989384805,11.456780873695022,10.649425930190635
2019,South.Twin,spring,Y,8,-29.415037499278842,-17.415037499278842,-0.5366439057936355,0.08219360441996108,-0.7377644105371598,-0.33552340105011125,4.545966811059603,1.825954312150568,0.0780175650091195,9.013916057110087,17.11150398897704,12.863947350860954
2020,Blue,summer,N,17,-28.415037499278842,-6.415037499278844,-0.7538663839579339,0.12265067856792322,-1.015290117054132,-0.49244265086173594,-1.4014949710914073,2.5033984066287136,-6.737362367255244,3.934372425072429,11.727116374981753,10.283433980256568
2020,Center,summer,N,11,-29.415037499278842,-8.415037499278844,-0.7786002336519564,0.1383433810884532,-1.0915547041069225,-0.46564576319699025,-3.194649196109324,2.714784717073654,-9.33591888929259,2.946620497073941,11.5326034203647,8.873654425496
2020,Center,spring,Y,9,-27.415037499278846,-16.415037499278842,0.06298161980918145,0.14572554735541682,-0.2816045435440699,0.40756778316243275,15.310882997827056,3.216588542727768,7.704859722297485,22.916906273356627,13.89914762803893,14.334667890784743
2020,Five.Island,summer,N,17,-28.415037499278842,-6.415037499278844,-0.6722820655376814,0.09105246224221228,-0.8663557948059434,-0.4782083362694195,-0.19648599060960417,1.8175754507352022,-4.070556359099754,3.677584377880546,11.511331390821754,10.223886025224457
2020,Five.Island,spring,N,8,-28.415037499278842,-17.415037499278842,-0.19008711710722617,0.0628878359598899,-0.3439681082103415,-0.03620612600411083,11.564632158401679,1.4298291929099058,8.065966161157384,15.063298155645974,15.920485575043575,14.510982473563685
2020,North.Twin,summer,N,11,-29.415037499278842,-10.415037499278844,-0.7980128214378454,0.22057790357566281,-1.2969947059665428,-0.29903093690914795,-3.489588114584009,4.338462610188813,-13.303872383754829,6.32469615458681,12.402867149255991,8.879610617702594
2018,North.Twin,spring,Y,6,-24.415037499278842,-17.415037499278842,0.11893036097837315,0.18537985799116544,-0.39576663834346015,0.6336273603002065,18.047088175447435,3.9077593035270444,7.197408984878635,28.896767366016235,15.262329313336059,16.20366758028265
2018,Silver,summer,N,19,-28.415037499278842,-0.4150374992788438,-0.38143537042797937,0.09639577367952051,-0.5848126753743266,-0.1780580654816322,4.739365764132093,1.6657608314640524,1.2249176129646573,8.253813915299528,10.237770932402732,10.651614005765772
2018,Silver,spring,N,7,-29.415037499278842,-17.415037499278842,0.2325671839462435,0.0682901127569361,0.05702186053970787,0.40811250735277915,19.864268107991816,1.474270573890285,16.074534949936325,23.654001266047306,14.418698774788844,16.25947675682504
