lake,year,carp_harv,buff_harv
Storm,2018,0,0
Storm,2019,0,0
Storm,2020,0,0
South Twin,2018,0,0
South Twin,2019,0,0
South Twin,2020,0,0
Center,2018,23,222
Center,2019,12,61
Center,2020,0,0
Five Island,2018,15,17
Five Island,2019,19,185
Five Island,2020,0,0
North Twin,2018,0,0
North Twin,2019,17,365
North Twin,2020,13,276
Silver,2018,0,0
Silver,2019,10,65
Silver,2020,71,74
