sd
6.305035466
0.766032346
1.29636243
5.89255651
0.176776695
0.176776695
0.530330086
0.176776695
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
2.969848481
0
0.565685425
2.828427125
5.656854249
0
0
0
2.404163056
1.272792206
0.707106781
1.414213562
2.687005769
0.141421356
5.374011537
1.13137085
1.13137085
0
0
0
0
0
0
0
0
0.565685425
0.848528137
4.5254834
3.111269837
0.141421356
0
0
0.141421356
0.424264069
0
0
7.06542E-16
0
0.707106781
51.47737367
0
14.70782105
0
0
0
0
0
0
0
0
1.767766953
0.883883476
1.237436867
0.353553391
0.176776695
0.353553391
2.474873734
0
2.121320344
1.237436867
0
0.353553391
2.651650429
0.176776695
29.69848481
0
51.26524164
0.353553391
0.176776695
0.176776695
0
0
0
0
0
0.471404521
0.11785113
1.414213562
0.47140452
0
0
0
0.47140452
8.367430245
1.414213562
0
2.003469213
0
7.07107E-10
0.353553391
0
10.84230398
0
1.414213562
0
0.23570226
0
0
0
0
0.48211826
0
0.671751442
0
0.064282435
0
6.60502016
0
40.23758997
1.671343301
0
0.784245703
1.115300241
0.282842712
3.937299122
0.565685425
0.607469007
0
0
0
0
0.038569461
0
0
0
0.564001837
0.101015254
0.303045763
1.296362433
0.11785113
0.176776695
0
0
0.547165962
0
0.202030509
0.875465539
0.058925565
1.010152544
1.178511302
0
0.294627826
0
10.34564564
0
0.092597316
0.058925565
6.347125154
4.217386873
0.538748023
